Name,Официальное название,Планируемая дата выхода,Статус производства,Страна,Студия-производитель,Тематика,Тип,Целевая аудитория
Прыгуны,Hoppers,06/03/2026,Анонсирован,США,"
Pixar Animation Studios (https://www.notion.so/Pixar-Animation-Studios-29bc10ae8c758092a229ef696d94f940?pvs=21)","Дружба, Комедия, Приключения, Природа",Анимационный фильм,Семейная аудитория
История игрушек 5,Toy Story 5,19/07/2026,В производстве,"США, Япония","
Pixar Animation Studios (https://www.notion.so/Pixar-Animation-Studios-29bc10ae8c758092a229ef696d94f940?pvs=21)","Дружба, Комедия, Приключения, Технологии",Анимационный фильм,Семейная аудитория
Суперсемейка 3,The Incredibles 3,17/07/2028,В разработке,США,"
Pixar Animation Studios (https://www.notion.so/Pixar-Animation-Studios-29bc10ae8c758092a229ef696d94f940?pvs=21)","Приключения, Семья, Супергерои, Фэнтези",Анимационный фильм,Семейная аудитория
Зверополис 2,Zootopia 2,26/12/2026,В производстве,США,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)","Детектив, Дружба, Комедия, Приключения",Анимационный фильм,Семейная аудитория
Холодное сердце 3,Frozen III,24/11/2027,В производстве,США,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)","Драма, Магия, Приключения, Фэнтези",Анимационный фильм,Семейная аудитория
Проклятые,Hexed,25/11/2028,В разработке,США,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)","Магия, Приключения, Семья, Фэнтези",Анимационный фильм,Семейная аудитория
Моана,Moana,10/07/2026,В производстве,США,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)","Океан, Приключения, Семья, Фэнтези",Игровой фильм,Семейная аудитория
Геркулес,Hercules,03/06/2027,В разработке,США,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)","Мифология, Мюзикл, Приключения, Фэнтези",Игровой фильм,Семейная аудитория
Круэлла 2,Cruella 2,17/12/2027,В разработке,США,"
Walt Disney Pictures (https://www.notion.so/Walt-Disney-Pictures-29bc10ae8c75805b8092e1738bf08839?pvs=21)","Драма, Комедия, Криминал, Мода",Игровой фильм,Подростковая аудитория (13+)
Человек-паук: Совершенно новый день,Spider-Man: A Brand New Day,31/07/2026,В разработке,США,"
Marvel Studios (https://www.notion.so/Marvel-Studios-29bc10ae8c75804888d6eaf962f76d6c?pvs=21)","Приключения, Супергерои, Экшн",Игровой фильм,Подростковая аудитория (13+)
Мстители: Судный день,Avengers: Doomsday,18/12/2026,Анонсирован,США,"
Marvel Studios (https://www.notion.so/Marvel-Studios-29bc10ae8c75804888d6eaf962f76d6c?pvs=21)","Конец света, Супергерои, Экшн, Эпик",Игровой фильм,Подростковая аудитория (13+)
Блэйд,Blade,12/02/2026,В производстве,США,"
Marvel Studios (https://www.notion.so/Marvel-Studios-29bc10ae8c75804888d6eaf962f76d6c?pvs=21)","Вампиры, Сверхъестественное, Экшн",Игровой фильм,Взрослая аудитория (16+)
Звёздные войны: Мандалорец» и Грогу,The Mandalorian & Grogu,22/05/2026,Постпродакшен,США,Lucasfilm (https://www.notion.so/Lucasfilm-29bc10ae8c7580fd87a5df17d28c1791?pvs=21),"Приключения, Фантастика, Экшн",Игровой фильм,Широкая аудитория (13+)
Звёздные войны: Рассвет джедаев,The Mandalorian & Grogu,10/12/2027,В разработке,США,Lucasfilm (https://www.notion.so/Lucasfilm-29bc10ae8c7580fd87a5df17d28c1791?pvs=21),"Драма, Мистика, Фэнтези, Эпик",Игровой фильм,Взрослая аудитория (16+)
Звёздные войны: Новый Орден джедаев,Star Wars: New Jedi Order,15/12/2028,В разработке,США,Lucasfilm (https://www.notion.so/Lucasfilm-29bc10ae8c7580fd87a5df17d28c1791?pvs=21),"Драма, Приключения, Фантастика",Игровой фильм,Широкая аудитория (13+)
