Name,Всего проектов,Дата рождения,Дата смерти,Знак зодиака,Карьера,Место рождения,Место смерти,Рост,Сыгранные/озвученные персонажи,Фильмография
Адриана Казелотти,5,06/05/1916,19/06/1997,Телец,"Актриса, Войс-актриса, Певица","Бриджпорт, Коннектикут, США","Лос-Анджелес, Калифорния, США",1.63,Белоснежка (https://www.notion.so/296c10ae8c7580d28e85d38725007365?pvs=21),Белоснежка и семь гномов (https://www.notion.so/294c10ae8c7580e9a813f0ec0648a627?pvs=21)
Люсиль Ла Верн,70,07/11/1872,04/03/1945,Скорпион,"Актриса, Войс-актриса","Нэшвилл, Теннесси, США","Калвер-Сити, Калифорния, США",1.68,Злая королева Гримхильда (https://www.notion.so/296c10ae8c7580f18841e02386bbe04b?pvs=21),Белоснежка и семь гномов (https://www.notion.so/294c10ae8c7580e9a813f0ec0648a627?pvs=21)
Мэттью Бродерик,85,21/03/1962,,Овен,"Актёр, Войс-актер, Певец","Нью-Йорк, США",-,1.73," Симба (https://www.notion.so/296c10ae8c7580d6ba85e9ee2df2d38f?pvs=21)",Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Джереми Айронс,120,19/09/1948,,Дева,"Актёр, Войс-актер, Продюсер","Каус, остров Уайт, Англия, Великобритания",-,1.87," Шрам (https://www.notion.so/296c10ae8c7580fab635ded8cbb8a0fe?pvs=21)",Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Нейтан Лейн,100,03/02/1956,,Водолей,"Актёр, Войс-актер, Певец","Джерси-Сити, Нью-Джерси, США",-,1.65," Тимон и Пумба (https://www.notion.so/296c10ae8c758093a58ff0433c009907?pvs=21)",Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Эрни Сабелла,70,19/09/1949,,Дева,"Актёр, Войс-актер","Уэстчестер, Нью-Йорк, США",-,1.7," Тимон и Пумба (https://www.notion.so/296c10ae8c758093a58ff0433c009907?pvs=21)",Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Мойра Келли,50,06/03/1968,,Рыбы,"Актриса, Войс-актриса","Куинс, Нью-Йорк, США",-,1.63,Нала (https://www.notion.so/296c10ae8c7580ad83f2f84dcd1504bb?pvs=21),Король лев (https://www.notion.so/294c10ae8c75809b8e6cdddddddb733c?pvs=21)
Дики Джонс,90,25/02/1927,07/07/2014,Рыбы,"Актёр, Войс-актер","Снайдер, Техас, США","Нортридж, Калифорния, США",1.68,Пиноккио (https://www.notion.so/296c10ae8c7580a7af68eda895e16d88?pvs=21),Пиноккио (https://www.notion.so/294c10ae8c758015a2f4fab2ee472c14?pvs=21)
Клифф Эдвардс,100,14/06/1895,17/07/1971,Близнецы,"Войс-актер, Музыкант, Певец","Хэннибал, Миссури, США","Голливуд, Калифорния, США",1.71,Сверчок Джимини (https://www.notion.so/296c10ae8c7580d0a385c40a6827c72f?pvs=21),"Пиноккио (https://www.notion.so/294c10ae8c758015a2f4fab2ee472c14?pvs=21), Дамбо (https://www.notion.so/294c10ae8c7580aeb4dbef5ba0a08d2b?pvs=21)"
Джоди Бенсон,110,10/10/1961,,Весы,"Актриса, Войс-актриса, Певица","Рокфорд, Иллинойс, США",-,1.68,Ариэль (https://www.notion.so/296c10ae8c75809fa744d0f8bfed29a9?pvs=21),"Русалочка (https://www.notion.so/294c10ae8c7580a8bf16e8e519568b29?pvs=21), История игрушек 2 (https://www.notion.so/2-296c10ae8c758025b37cc48f40d6bc95?pvs=21), История игрушек 3 (https://www.notion.so/3-298c10ae8c75806a83bdd3068afbdc00?pvs=21)"
Пэт Кэрролл,100,05/05/1927,30/07/2022,Телец,"Актриса, Войс-актриса","Шривпорт, Луизиана, США","Кейп-Код, Массачусетс, США",1.57,Урсула (https://www.notion.so/296c10ae8c75806b8f48fd5150526b69?pvs=21),Русалочка (https://www.notion.so/294c10ae8c7580a8bf16e8e519568b29?pvs=21)
Джейсон Марин,15,25/07/1974,,Лев,"Актёр, Войс-актер","Бруклин, Нью-Йорк, США",-,1.7,Флаундер (https://www.notion.so/296c10ae8c75808f87bed303552e4641?pvs=21),Русалочка (https://www.notion.so/294c10ae8c7580a8bf16e8e519568b29?pvs=21)
