Name,Бюджет и сборы,Возраст,Год выпуска,Диснейленд,Жанр,Исполнители,Награды,Персонажи,Песни,Продолжительность,Рейтинг,Студия,Тип
Белоснежка и семь гномов,"$1,5 млн / $418 млн",0+,1937,Disneyland Park (https://www.notion.so/Disneyland-Park-29dc10ae8c758014b1edc479346cd811?pvs=21),"Музыкальный, Семейный, Фэнтези","Адриана Казелотти (https://www.notion.so/299c10ae8c7580189907f3f2a4fa06f6?pvs=21), Люсиль Ла Верн (https://www.notion.so/299c10ae8c758067b57eca64749f8624?pvs=21), Билл Тайтла (https://www.notion.so/299c10ae8c758033a2abc83eacef1216?pvs=21)",Почётный «Оскар» (1939),"Белоснежка (https://www.notion.so/296c10ae8c7580d28e85d38725007365?pvs=21), Злая королева Гримхильда (https://www.notion.so/296c10ae8c7580f18841e02386bbe04b?pvs=21)","Some Day My Prince Will Come (https://www.notion.so/Some-Day-My-Prince-Will-Come-29cc10ae8c758046880bc869e2c082c4?pvs=21), Whistle While You Work (https://www.notion.so/Whistle-While-You-Work-29cc10ae8c75807fb964e32b9dd57970?pvs=21)",83 мин,7.9/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
Король лев,$45 млн / $968 млн,6+,1994,Disney's Animal Kingdom (https://www.notion.so/Disney-s-Animal-Kingdom-29dc10ae8c7580e88288f93726caed9b?pvs=21),"Музыкальный, Приключения, Семейный","Мэттью Бродерик (https://www.notion.so/299c10ae8c7580879719d45e81b82330?pvs=21), Джереми Айронс (https://www.notion.so/299c10ae8c75805ab9bac6a8fa001540?pvs=21), Нейтан Лейн (https://www.notion.so/299c10ae8c75801f9f90f931f4b749a0?pvs=21), Мойра Келли (https://www.notion.so/299c10ae8c7580a38837c791677e0e6c?pvs=21), Эрни Сабелла (https://www.notion.so/299c10ae8c75807da71fdbdbf57063c6?pvs=21)","2 «Оскара», «Золотой глобус»"," Симба (https://www.notion.so/296c10ae8c7580d6ba85e9ee2df2d38f?pvs=21),  Шрам (https://www.notion.so/296c10ae8c7580fab635ded8cbb8a0fe?pvs=21),  Тимон и Пумба (https://www.notion.so/296c10ae8c758093a58ff0433c009907?pvs=21), Нала (https://www.notion.so/296c10ae8c7580ad83f2f84dcd1504bb?pvs=21)","I Just Can't Wait to Be King (https://www.notion.so/I-Just-Can-t-Wait-to-Be-King-29cc10ae8c75803098a4fd8a9b2ef1f8?pvs=21), Be Prepared (https://www.notion.so/Be-Prepared-29cc10ae8c7580f68d44eb18dbd20d9b?pvs=21), Hakuna Matata (https://www.notion.so/Hakuna-Matata-29cc10ae8c758033ac99d2090af317fd?pvs=21)",88 мин,8.8/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
Дамбо,"$950 тыс / $1,6 млн",0+,1941,Magic Kingdom (https://www.notion.so/Magic-Kingdom-29dc10ae8c75805cb283f4b4b5b053cc?pvs=21),"Музыкальный, Семейный","Клифф Эдвардс (https://www.notion.so/299c10ae8c7580a6a02af38d4db2ea0f?pvs=21), Стерлинг Холлоуэй (https://www.notion.so/299c10ae8c7580a7a1b7fee61f405fdd?pvs=21), Эдвард Брофи (https://www.notion.so/299c10ae8c75803ea030fc0eaa6efeba?pvs=21), Билл Тайтла (https://www.notion.so/299c10ae8c758033a2abc83eacef1216?pvs=21)",«Оскар» за музыку,"Дамбо (https://www.notion.so/296c10ae8c7580c1a070db906b91da6c?pvs=21), Тимоти (https://www.notion.so/296c10ae8c7580c1b1edc606f91a85f4?pvs=21)",,64 мин,7.2/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
Пиноккио,"$2,3 млн / $164 млн",6+,1940,Disneyland Park (https://www.notion.so/Disneyland-Park-29dc10ae8c758014b1edc479346cd811?pvs=21),"Приключения, Фэнтези","Дики Джонс (https://www.notion.so/299c10ae8c7580149232dd8d9cd89b35?pvs=21), Клифф Эдвардс (https://www.notion.so/299c10ae8c7580a6a02af38d4db2ea0f?pvs=21), Билл Тайтла (https://www.notion.so/299c10ae8c758033a2abc83eacef1216?pvs=21)",2 «Оскара»,"Пиноккио (https://www.notion.so/296c10ae8c7580a7af68eda895e16d88?pvs=21), Сверчок Джимини (https://www.notion.so/296c10ae8c7580d0a385c40a6827c72f?pvs=21)","When You Wish Upon a Star (https://www.notion.so/When-You-Wish-Upon-a-Star-29cc10ae8c758097b36cecd80f3fb963?pvs=21), I've Got No Strings (https://www.notion.so/I-ve-Got-No-Strings-29cc10ae8c7580a69295ecff1b325b32?pvs=21)",88 мин,7.4/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
Леди и бродяга,$4 млн / $187 млн,0+,1955,Magic Kingdom (https://www.notion.so/Magic-Kingdom-29dc10ae8c75805cb283f4b4b5b053cc?pvs=21),"Мелодрама, Приключения","Барбара Ладди (https://www.notion.so/299c10ae8c7580468e32ee614cd248bd?pvs=21), Ларри Робертс (https://www.notion.so/299c10ae8c75807db12efec7f5ff73ec?pvs=21)",-,"Леди (https://www.notion.so/296c10ae8c7580c481b1c08a410caf05?pvs=21), Бродяга (https://www.notion.so/296c10ae8c7580e186b6d01f1e23dab9?pvs=21)",,76 мин,8.0/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
Русалочка,$40 млн / $235 млн,6+,1989,Disney California Adventure Park (https://www.notion.so/Disney-California-Adventure-Park-29dc10ae8c7580b7a0f6f216dfabb085?pvs=21),"Музыкальный, Семейный, Фэнтези","Джоди Бенсон (https://www.notion.so/299c10ae8c758089bf23c9b5bfb19b61?pvs=21), Пэт Кэрролл (https://www.notion.so/299c10ae8c75801c9a7aed462ccb8597?pvs=21), Джейсон Марин (https://www.notion.so/299c10ae8c758012a1a6c5c562043ac0?pvs=21), Сэмюэл Э. Райт (https://www.notion.so/299c10ae8c7580658650d95dbbaa6f5a?pvs=21)",2 «Оскара»,"Ариэль (https://www.notion.so/296c10ae8c75809fa744d0f8bfed29a9?pvs=21), Урсула (https://www.notion.so/296c10ae8c75806b8f48fd5150526b69?pvs=21), Флаундер (https://www.notion.so/296c10ae8c75808f87bed303552e4641?pvs=21), Себастьян (https://www.notion.so/296c10ae8c758026855cd80505bb78d5?pvs=21)","Under the Sea (https://www.notion.so/Under-the-Sea-29cc10ae8c758017ab3fe4a4f613ac75?pvs=21), Poor Unfortunate Souls (https://www.notion.so/Poor-Unfortunate-Souls-29cc10ae8c7580798f5ef8162a57d3b1?pvs=21), Part of Your World (https://www.notion.so/Part-of-Your-World-29cc10ae8c7580d6894ef95f38d94b57?pvs=21)",83 мин,8.1/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
Красавица и чудовище,$25 млн / $440 млн,6+,1991,Tokyo Disneyland (https://www.notion.so/Tokyo-Disneyland-29dc10ae8c75801dbc4afaa11fbf08c6?pvs=21),"Мьюзикл, Романтика, Фэнтези","Пейдж О'Хара (https://www.notion.so/299c10ae8c75803fa159f954d16dbe65?pvs=21), Робби Бенсон (https://www.notion.so/299c10ae8c758024b465d77ebc2e5227?pvs=21), Ричард Уайт (https://www.notion.so/299c10ae8c758019b3e7c58360e4a345?pvs=21)","2 «Оскара», «Золотой глобус»","Белль (https://www.notion.so/296c10ae8c7580c08cc8eea1a8f01634?pvs=21), Чудовище / Принц Адам (https://www.notion.so/296c10ae8c7580e58462d8b3af0d9bb0?pvs=21), Гастон (https://www.notion.so/296c10ae8c7580e98928f196563433d1?pvs=21)","Belle (https://www.notion.so/Belle-29cc10ae8c7580298c81c5bad47ad222?pvs=21), Something There (https://www.notion.so/Something-There-29cc10ae8c758070b015cb1cc1a2b6c3?pvs=21)",84 мин,8.0/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
Питер Пэн,$4 млн / $145 млн,6+,1953,Disneyland Park (https://www.notion.so/Disneyland-Park-29dc10ae8c758014b1edc479346cd811?pvs=21),"Приключения, Фэнтези","Бобби Дрисколл (https://www.notion.so/299c10ae8c758028a00fc9a3f15af75f?pvs=21), Ганс Конрид (https://www.notion.so/299c10ae8c7580f88ab5e356504901ce?pvs=21), Маргарет Керри (https://www.notion.so/299c10ae8c75803a9e0dd1c45f544d75?pvs=21)",-,"Питер Пэн (https://www.notion.so/296c10ae8c75800381aed471b4c65e75?pvs=21), Капитан Крюк (https://www.notion.so/296c10ae8c7580c29695c221a768f158?pvs=21), Динь-Динь (https://www.notion.so/296c10ae8c7580e38a6ff2871ea83789?pvs=21)",The Elegant Captain Hook (https://www.notion.so/The-Elegant-Captain-Hook-29cc10ae8c7580ce9ed5c6433691c669?pvs=21),77 мин,7.3/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
Приключения Винни-Пуха,$2 млн / $50 млн,0+,1977,Tokyo Disneyland (https://www.notion.so/Tokyo-Disneyland-29dc10ae8c75801dbc4afaa11fbf08c6?pvs=21),"Комедия, Семейный","Брюс Райтерман (https://www.notion.so/299c10ae8c7580a08f1ede096fb9d37d?pvs=21), Себастьян Кэбот (https://www.notion.so/299c10ae8c7580dab7e4ea566c5c5b19?pvs=21), Барбара Ладди (https://www.notion.so/299c10ae8c7580468e32ee614cd248bd?pvs=21), Стерлинг Холлоуэй (https://www.notion.so/299c10ae8c7580a7a1b7fee61f405fdd?pvs=21), Джон Фидлер  (https://www.notion.so/299c10ae8c7580db95f5e62742d042ee?pvs=21), Ральф Райт (https://www.notion.so/299c10ae8c758016b31ad6962573dd18?pvs=21), Пол Уинчелл (https://www.notion.so/299c10ae8c7580079116e7fb3b09ba41?pvs=21)",-,"Винни-Пух (https://www.notion.so/296c10ae8c75807fa419dcb7cb4529d7?pvs=21), Тигра (https://www.notion.so/296c10ae8c75801fafa5cbfe480ed188?pvs=21), Иа-Иа (https://www.notion.so/296c10ae8c7580c3bc21e3490d26393c?pvs=21), Пятачок (https://www.notion.so/296c10ae8c75806f82bbc24ee2a958b3?pvs=21)","The Wonderful Thing About Tiggers (https://www.notion.so/The-Wonderful-Thing-About-Tiggers-29dc10ae8c7580978babf92ab3756442?pvs=21), Winnie the Pooh (https://www.notion.so/Winnie-the-Pooh-29dc10ae8c7580cea789f6406e31ac72?pvs=21)",74 мин,7.6/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
Спящая красавица,$6 млн / $51 млн,0+,1959,Disneyland Park (https://www.notion.so/Disneyland-Park-29dc10ae8c758014b1edc479346cd811?pvs=21),"Музыкальный, Фэнтези","Мэри Коста (https://www.notion.so/299c10ae8c75805fa7dacaa4a7e1da9b?pvs=21), Элинор Одли (https://www.notion.so/299c10ae8c7580b6a3cec01e707b330a?pvs=21), Барбара Ладди (https://www.notion.so/299c10ae8c7580468e32ee614cd248bd?pvs=21)",-,"Аврора (https://www.notion.so/296c10ae8c758029a6c4e9bc9c1792d2?pvs=21), Малефисента (https://www.notion.so/296c10ae8c7580a499dfc945a25fb205?pvs=21)","Once Upon a Dream (https://www.notion.so/Once-Upon-a-Dream-29cc10ae8c7580b794bcf18f2aff7ad2?pvs=21), I Wonder (https://www.notion.so/I-Wonder-29cc10ae8c7580d5a72fd096d0453609?pvs=21)",75 мин,7.4/10,"
Walt Disney Animation Studios (https://www.notion.so/Walt-Disney-Animation-Studios-29bc10ae8c7580b5a450d06a1ac56453?pvs=21)",Мультфильм
